"","isAllNBA","Year","Player","Position","Rebounds","Assists","Blocks","Steals","Points","Turnovers","FieldGoalPercentage","MinutesPerGame","FoulsPerGame"
"73",FALSE,1978,"E.C. Coleman","PF",5,1,0,0,6,1,0.475,25,3
"74",FALSE,1978,"Doug Collins","SG",2,4,0,1,19,3,0.526,35,2
"75",FALSE,1978,"Norm Cook","SF",1,0,0,0,1,0,0.333,5,2
"76",FALSE,1978,"Dave Cowens*","C",14,4,0,1,18,2,0.49,41,3
"77",FALSE,1978,"Wesley Cox","SF",3,0,0,0,4,0,0.399,10,1
"78",FALSE,1978,"Charlie Criss","PG",1,3,0,1,11,1,0.425,25,1
"79",FALSE,1978,"Mark Crow","SF",1,0,0,0,5,0,0.438,10,1
"80",FALSE,1978,"Louie Dampier*","PG",1,3,0,1,9,1,0.509,24,1
"81",FALSE,1978,"Bob Dandridge","SF",5,3,0,1,19,3,0.471,37,3
"82",FALSE,1978,"Adrian Dantley*","SF",7,3,0,1,21,2,0.512,37,2
"83",FALSE,1978,"Adrian Dantley*","SF",9,2,0,2,26,2,0.499,41,3
"84",FALSE,1978,"Adrian Dantley*","SF",7,3,0,1,19,2,0.52,35,2
"85",FALSE,1978,"Brad Davis","PG",1,2,0,0,2,1,0.417,10,1
"86",FALSE,1978,"Johnny Davis","SG",2,2,0,0,10,1,0.454,26,2
"87",TRUE,1978,"Walter Davis","SF",5,3,0,1,24,3,0.526,31,2
"88",FALSE,1978,"Darryl Dawkins","C",7,1,1,0,11,1,0.575,24,3
"89",FALSE,1978,"Derrek Dickey","PF",2,0,0,0,4,0,0.439,10,1
"90",FALSE,1978,"Derrek Dickey","PF",2,0,0,0,6,0,0.462,12,1
"91",FALSE,1978,"Derrek Dickey","PF",1,0,0,0,2,0,0.397,8,1
"92",FALSE,1978,"Coby Dietrick","PF",4,2,0,1,7,1,0.46,23,2
"93",FALSE,1978,"Ernie DiGregorio","PG",0,2,0,0,3,1,0.421,11,0
"94",FALSE,1978,"Ernie DiGregorio","PG",0,2,0,0,3,1,0.41,13,0
"95",FALSE,1978,"Ernie DiGregorio","PG",1,2,0,0,3,1,0.431,10,0
"96",FALSE,1978,"Jacky Dorsey","SF",2,0,0,0,3,0,0.387,8,1
"97",FALSE,1978,"Jacky Dorsey","SF",2,0,0,0,1,0,0.25,5,1
"98",FALSE,1978,"Jacky Dorsey","SF",2,0,0,0,6,0,0.474,12,2
"99",FALSE,1978,"Leon Douglas","C",7,1,0,0,10,2,0.481,25,3
"100",FALSE,1978,"John Drew","SF",7,2,0,1,23,3,0.48,31,3
"101",FALSE,1978,"Charles Dudley","PG",3,5,0,0,5,2,0.51,21,2
"102",FALSE,1978,"Mike Dunleavy","PG",0,1,0,0,3,0,0.4,7,0
"103",FALSE,1978,"Mike Dunleavy","PG",0,1,0,0,2,0,0.429,4,0
"104",FALSE,1978,"Mike Dunleavy","PG",0,2,0,0,4,0,0.395,9,1
"105",FALSE,1978,"T.R. Dunn","SG",2,0,0,0,3,0,0.417,12,1
"106",FALSE,1978,"Jim Eakins","C",2,0,0,0,4,1,0.512,12,2
"107",FALSE,1978,"Jim Eakins","C",2,1,0,0,5,1,0.577,15,2
"108",FALSE,1978,"Jim Eakins","C",1,0,0,0,2,0,0.412,9,1
"109",FALSE,1978,"Al Eberhard","SF",2,0,0,0,4,0,0.444,15,1
"110",FALSE,1978,"James Edwards","C",7,1,0,0,15,2,0.453,28,3
"111",FALSE,1978,"James Edwards","C",7,1,1,0,14,2,0.459,28,3
"112",FALSE,1978,"James Edwards","C",7,0,0,0,15,1,0.45,29,4
"113",FALSE,1978,"Bo Ellis","PF",3,0,0,0,4,1,0.416,15,2
"114",FALSE,1978,"Len Elmore","C",6,1,1,1,5,1,0.368,19,2
"115",FALSE,1978,"Alex English*","SF",4,1,0,0,9,1,0.542,18,2
"116",FALSE,1978,"Julius Erving*","SF",6,3,1,1,20,3,0.502,32,2
"117",FALSE,1978,"Al Fleming","SF",1,0,0,0,2,0,0.484,4,0
"118",FALSE,1978,"Mike Flynn","PG",1,2,0,0,4,1,0.449,13,0
"119",FALSE,1978,"Chris Ford","SG",3,4,0,2,10,2,0.481,31,2
"120",FALSE,1978,"Don Ford","PF",4,1,0,0,7,1,0.472,24,2
"121",FALSE,1978,"Bayard Forrest","C",3,2,0,0,4,1,0.466,13,1
"122",FALSE,1978,"Walt Frazier*","PG",4,4,0,1,16,2,0.471,32,2
"123",FALSE,1978,"World B.","SG",2,4,0,0,15,2,0.455,26,2
"124",FALSE,1978,"Terry Furlow","SG",2,1,0,0,8,1,0.433,15,1
"125",FALSE,1978,"Mike Gale","SG",3,5,0,2,9,2,0.473,29,2
"126",FALSE,1978,"Gus Gerard","SF",2,0,0,0,7,1,0.43,15,1
"127",FALSE,1978,"Gus Gerard","SF",1,0,0,0,4,0,0.4,8,1
"128",FALSE,1978,"Gus Gerard","SF",3,0,0,0,7,1,0.434,17,2
"129",FALSE,1978,"George Gervin*","SG",5,3,1,1,27,3,0.536,34,3
"130",FALSE,1978,"John Gianelli","C",6,2,1,0,8,1,0.488,28,2
